config,particles,timesteps,memory,runtime,looptime,mpi_pair,mpi_bond,mpi_neigh,mpi_comm,mpi_output,mpi_modify,mpi_other
rdf,512,50000000,11.890000,7475,7468.919922,36.360001,0.020000,0.900000,53.150002,0.630000,6.400000,2.530000
rdf,512,50000000,11.970000,8183,8176.299805,35.869999,0.020000,0.840000,53.750000,0.600000,6.380000,2.540000
sdo,512,100000,1.990000,21,15.675100,34.910000,0.020000,0.850000,51.169998,2.470000,8.360000,2.220000
sdo,512,100000,1.980000,19,15.051800,36.290001,0.020000,0.890000,54.130001,0.240000,6.120000,2.320000
sdo,512,100000,1.980000,22,15.358000,35.369999,0.020000,0.870000,52.700001,2.740000,6.050000,2.240000
sdo,512,100000,1.990000,20,15.031500,36.320000,0.020000,0.890000,53.630001,0.050000,6.780000,2.300000
sdo,512,100000,0.000000,22,16.137400,35.180000,0.020000,0.870000,54.919998,1.270000,5.360000,2.380000
sdo,512,100000,1.980000,20,15.337400,35.490002,0.020000,0.860000,55.820000,0.130000,5.430000,2.240000
sdo,512,100000,1.970000,19,15.027700,36.450001,0.020000,0.890000,53.770000,0.350000,6.200000,2.320000
sdo,512,100000,1.980000,19,15.470700,35.779999,0.020000,0.870000,54.470001,0.530000,6.050000,2.280000
sdo,512,100000,1.980000,20,14.646100,36.930000,0.020000,0.910000,53.959999,0.230000,5.570000,2.390000
sdo,512,100000,1.980000,20,14.600800,37.070000,0.020000,0.910000,53.980000,0.060000,5.580000,2.380000
sdo,512,500000,2.090000,93,87.149002,33.150002,0.020000,0.790000,56.279999,1.500000,5.990000,2.260000
sdo,512,500000,2.060000,96,90.785599,31.230000,0.020000,0.760000,53.200001,4.710000,6.640000,3.440000
sdo,512,500000,2.120000,94,88.812500,32.009998,0.020000,0.780000,53.700001,0.700000,10.560000,2.220000
sdo,512,500000,2.110000,99,92.533302,30.709999,0.020000,0.750000,53.639999,5.440000,7.240000,2.200000
sdo,512,500000,2.000000,91,84.024399,33.400002,0.020000,0.830000,56.340000,1.000000,6.090000,2.320000
sdo,512,500000,2.000000,95,90.306198,31.379999,0.020000,0.770000,53.259998,2.430000,8.790000,3.350000
sdo,512,500000,2.000000,89,83.995903,34.040001,0.020000,0.820000,56.720001,0.100000,5.960000,2.330000
sdo,512,500000,2.000000,88,76.954803,35.619999,0.020000,0.870000,53.169998,4.690000,3.760000,1.860000
sdo,512,500000,2.000000,92,85.877197,32.049999,0.020000,0.780000,49.169998,4.840000,9.770000,3.380000
sdo,512,500000,2.000000,94,87.888603,32.090000,0.020000,0.790000,53.250000,5.380000,6.270000,2.200000
sdo,512,1000000,2.000000,173,168.257004,32.779999,0.020000,0.820000,55.790001,2.410000,6.230000,1.940000
sdo,512,1000000,2.000000,163,158.399002,34.520000,0.020000,0.840000,49.730000,3.000000,9.150000,2.740000
sdo,512,1000000,2.110000,165,159.302994,34.860001,0.020000,0.860000,56.130001,2.070000,4.110000,1.950000
sdo,512,1000000,2.000000,167,159.167999,35.130001,0.020000,0.860000,55.220001,1.730000,5.050000,1.980000
sdo,512,1000000,2.000000,169,157.819000,36.340000,0.020000,0.890000,53.650002,0.230000,6.620000,2.240000
sdo,512,1000000,2.000000,169,165.516006,33.360001,0.020000,0.830000,56.740002,2.090000,4.860000,2.100000
sdo,512,1000000,2.000000,163,155.399002,35.400002,0.020000,0.880000,55.970001,0.710000,4.890000,2.130000
sdo,512,1000000,2.000000,162,152.981995,35.619999,0.020000,0.880000,51.740002,3.910000,5.570000,2.260000
sdo,512,1000000,2.000000,169,162.585007,33.950001,0.020000,0.850000,58.090000,0.080000,4.920000,2.090000
sdo,512,1000000,2.000000,163,158.268005,34.720001,0.020000,0.860000,54.790001,0.890000,6.020000,2.700000
sdo,512,5000000,2.080000,838,833.517029,33.410000,0.020000,0.820000,53.509998,2.170000,6.930000,3.130000
sdo,512,5000000,2.110000,827,821.437012,34.150002,0.020000,0.830000,54.139999,3.040000,5.400000,2.410000
